Issue,Commit,Classification (Khatchadourian),Operator,Pipeline,Project
https://github.com/factcast/factcast/commit/a3d33b5,https://github.com/factcast/factcast/commit/a3d33b5,Concur,CSS,Source,factcast
https://github.com/factcast/factcast/commit/a3d33b5,https://github.com/factcast/factcast/commit/a3d33b5,Incorrect Action,COP,Terminal,factcast
https://github.com/factcast/factcast/commit/a3d33b5,https://github.com/factcast/factcast/commit/a3d33b5,Concur,CSS,Source,factcast
https://github.com/factcast/factcast/tree/issues/1795,https://github.com/factcast/factcast/pull/1796/commits/cf56f87921361a7d6960905ba8a57741d1bc4b28,Concur,CSS,Source,factcast
https://github.com/fair-acc/chart-fx/issues/337,https://github.com/fair-acc/chart-fx/pull/339/files#diff-14f1e6629554769aa7d1343e45d50541345cca4378f9fd66adec035b5a75389c,Intermediate Operations,RIO,Intermediate,chart-fx
https://github.com/fair-acc/chart-fx/issues/337,https://github.com/fair-acc/chart-fx/pull/339/files#diff-14f1e6629554769aa7d1343e45d50541345cca4378f9fd66adec035b5a75389c,Stream,CSS,Source,chart-fx
https://github.com/fair-acc/chart-fx/issues/454,https://github.com/fair-acc/chart-fx/pull/457/files#diff-14f1e6629554769aa7d1343e45d50541345cca4378f9fd66adec035b5a75389c,Incorrect Action,COP,Terminal,chart-fx
https://github.com/finos/datahelix/pull/413,https://github.com/finos/datahelix/commit/2d25992735e8e8db247f8f13e494aa620c56aae7,Intermediate Operations,AIO,Intermediate,datahelix
https://github.com/finos/datahelix/pull/413,https://github.com/finos/datahelix/commit/2d25992735e8e8db247f8f13e494aa620c56aae7,Intermediate Operations,CIT,Intermediate,datahelix
https://github.com/finos/datahelix/pull/413,https://github.com/finos/datahelix/pull/413/commits/330f3e533efea75f26805af8a6b6e10cc87dcc48,Incorrect Action,COP,Intermediate,datahelix
https://github.com/finos/datahelix/issues/327,https://github.com/finos/datahelix/pull/413/commits/6794f4bfff464abbe0020bbc4cc5a3a75be414e0#diff-66c5fde717652be6fb433b05ab3504f8cdfeed6fa4fcc7bd4c7ed4655912e783,Intermediate Operations,RIO,Intermediate,datahelix
https://github.com/gchq/stroom/issues/2789,https://github.com/gchq/stroom/commit/2b1fbed90#diff-cf92c5ec856f33fa94cbcfc1fe760478c07031406f8b14d3dcffa9e4aeb737f7,Incorrect Action,COP,Intermediate,stroom
https://github.com/gchq/stroom/issues/2682,https://github.com/gchq/stroom/commit/91993f076#diff-866c01f16f0fbf1c779db41a3b59a399abc4f150ab7e09eeee1f3a90e5412ea0,Incorrect Action,COP,Intermediate,stroom
https://github.com/gchq/stroom/issues/2688,https://github.com/gchq/stroom/commit/95bc31e40,Concur,CSS,Source,stroom
https://github.com/gchq/stroom/issues/2688,https://github.com/gchq/stroom/commit/95bc31e40,Intermediate Operations,AIO,Intermediate,stroom
https://github.com/gchq/stroom/issues/2708,https://github.com/gchq/stroom/commit/b0e19649d#diff-9ad9337138f9bcc165b87784c0309253e48f092eebdcc64238a411dffcb916e0,Incorrect Action,COP,Intermediate,stroom
https://github.com/Graylog2/graylog2-server/issues/12246,https://github.com/Graylog2/graylog2-server/commit/7081f73#diff-c34ee4aede980ac3779a0fdbf3beb4665e7c972e031e9df63258b00a6be13e61,Incorrect Action,COP,Terminal,graylog2-server
https://github.com/Graylog2/graylog2-server/issues/6530,https://github.com/Graylog2/graylog2-server/commit/8ca4249?diff=split,Intermediate Operations,RIO,Intermediate,graylog2-server
https://github.com/Graylog2/graylog2-server/issues/10088,https://github.com/Graylog2/graylog2-server/pull/10108/commits/af01538f92e63bd154329a08c1c78fbff6f6cfd0#diff-deae539b2e3f14b7340bbc833f8b369908dfc1c379ada75362d106b5cf7c223f,Intermediate Operations,AIO,Intermediate,graylog2-server
https://github.com/Graylog2/graylog2-server/issues/10088,https://github.com/Graylog2/graylog2-server/pull/10108/commits/af01538f92e63bd154329a08c1c78fbff6f6cfd0#diff-deae539b2e3f14b7340bbc833f8b369908dfc1c379ada75362d106b5cf7c223f,Intermediate Operations,RIO,Intermediate,graylog2-server
https://github.com/groboclown/p4ic4idea/issues/176,https://github.com/groboclown/p4ic4idea//commit/39bd5d9,Intermediate Operations,AIO,Intermediate,p4ic4idea
https://github.com/groboclown/p4ic4idea/issues/209,https://github.com/groboclown/p4ic4idea/commit/059e3ed22cfea2e4cd438a0f4b98740b99f100fe#diff-b9a9d4e944aed932087f77d7f16575972398d2a6ffd4ccc9632459fc8345ed4d,Incorrect Action,COP,Intermediate,p4ic4idea
https://github.com/groboclown/p4ic4idea/issues/195,https://github.com/groboclown/p4ic4idea/commit/f540c8ded06419df2cd6e6c97bdf583d52b52e6c,Stream,CSS,Source,p4ic4idea
https://github.com/HaxeFoundation/intellij-haxe/issues/978,https://github.com/HaxeFoundation/intellij-haxe/commit/12bc205a4660bda6d6dec710155fc31e52b02fff,Incorrect Action,COP,Intermediate,intellij-haxe
